"flag",,,,"content",,,,
"$SCENE_OPENING_TITLE",,,,"시작",,,,
"$NARR_OPENING_00_TEXT",,,,"*내 이름은 $MCG",,,,
"$NARR_OPENING_10_TEXT",,,,"나는 죽어가고 있었다.",,,,
"$NARR_OPENING_20_TEXT",,,,"그들은 기다리지 않았고,",,,,
"$NARR_OPENING_30_TEXT",,,,"시체를 불태울 시간조차 없었기에,",,,,
"$NARR_OPENING_40_TEXT",,,,"그냥 도시 밖으로 가져가….",,,,
"$NARR_OPENING_50_TEXT",,,,"...구덩이에 내던졌다.",,,,
"$SCENE_WHERE_AM_I_TITLE",,,,"중간계",,,,
"$NARR_WHERE_AM_I_00_TEXT",,,,"1 장",,,,
"$NARR_WHERE_AM_I_00_SUB_TEXT",,,,"*죽어가는 자의 발은 이승과 저승 사이에 걸쳐있고, 그 영혼은 양쪽 모두를 본다.",,,,
"$NARR_WHERE_AM_I_00_SUB_SUB_TEXT",,,,"*$N$N$N$N-유목민 속담",,,,
"$LINE_WHERE_AM_I_00_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_00_TEXT",,,,"그가 느껴져?",,,,
"$LINE_WHERE_AM_I_10_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_10_TEXT",,,,"뭐라고? 여긴 어디지?",,,,
"$LINE_WHERE_AM_I_20_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_20_TEXT",,,,"그가 우리를 부르고 있어….",,,,
"$LINE_WHERE_AM_I_30_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_30_TEXT",,,,"이리 와, 그에게 가야만 해….",,,,
"$LINE_WHERE_AM_I_40_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_40_TEXT",,,,"이제 조금밖에 남지 않았어….",,,,
"$LINE_WHERE_AM_I_50_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_50_TEXT",,,,"뭐 하는 거야? 당신 미쳤어?",,,,
"$LINE_WHERE_AM_I_60_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_60_TEXT",,,,"들어봐….",,,,
"$LINE_WHERE_AM_I_70_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_70_TEXT",,,,"그는 우리가 더욱 위대한... 존재의 일부가 되길.. 바라신다….",,,,
"$LINE_WHERE_AM_I_80_CHAR",,,,"역병 피해자",,,,
"$LINE_WHERE_AM_I_80_TEXT",,,,"바보가 아니고서야 싫어할 리 없지.",,,,
"$LINE_WHERE_AM_I_90_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_90_TEXT",,,,"가까이 오지 마!",,,,
"$LINE_WHERE_AM_I_100_CHAR",,,,"목소리",,,,
"$LINE_WHERE_AM_I_100_TEXT",,,,"모두 합류할 것이다. 모두 그릇이 된다.",,,,
"$LINE_WHERE_AM_I_110_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_110_TEXT",,,,"여기서 내보내 줘!",,,,
"$LINE_WHERE_AM_I_120_CHAR",,,,"목소리",,,,
"$LINE_WHERE_AM_I_120_TEXT",,,,"명령",,,,
"$LINE_WHERE_AM_I_130_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_130_TEXT",,,,"움직일 수... 없어….",,,,
"$LINE_WHERE_AM_I_140_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_140_TEXT",,,,"누가 좀...도와줘요….",,,,
"$LINE_WHERE_AM_I_150_CHAR",,,,"$BER",,,,
"$LINE_WHERE_AM_I_150_TEXT",,,,"엥?! 여긴 어디야?",,,,
"$SCENE_MEET_BERSERKER_TITLE",,,,"이상한 새 친구",,,,
"$LINE_MEET_BERSERKER_00_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_00_TEXT",,,,"우와.",,,,
"$LINE_MEET_BERSERKER_10_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_10_TEXT",,,,"무슨 일이 일어난 거지?",,,,
"$LINE_MEET_BERSERKER_20_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_20_TEXT",,,,"난들 아냐? 5분 전만 해도 넌 그냥 시체였고, 난 시체에서 그냥 신발이나 좀 벗겨가려던 놈이었다고.",,,,
"$LINE_MEET_BERSERKER_30_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_30_TEXT",,,,"여기서 좋은 소식! 넌 살아있고, 이젠 역병에 걸려있지도 않아.",,,,
"$LINE_MEET_BERSERKER_40_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_40_TEXT",,,,"여긴 어ㄷ-?",,,,
"$LINE_MEET_BERSERKER_50_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_50_TEXT",,,,"뭐, 내가 새 신발을 얻지 못했다는 건 나쁜 소식이지만 말이야.",,,,
"$LINE_MEET_BERSERKER_60_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_60_TEXT",,,,"게다가 넌 이제 이 역병 지대에 우리와 함께 갇혀버린 거야.",,,,
"$LINE_MEET_BERSERKER_70_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_70_TEXT",,,,"구덩이…….",,,,
"$LINE_MEET_BERSERKER_80_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_80_TEXT",,,,"낙담하지 말라고! 어쨌든 이제 더이상은 역병에 걸리지 않을테니깐.",,,,
"$LINE_MEET_BERSERKER_90_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_90_TEXT",,,,"그렇다면 경비들이 우릴 내보내 주지 않을까?",,,,
"$LINE_MEET_BERSERKER_100_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_100_TEXT",,,,"사정을 설명해볼 순 있겠지. 하지만 경비들은 도통 말을 안 들어먹는다고.",,,,
"$LINE_MEET_BERSERKER_110_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_110_TEXT",,,,"*저것들은 '공손히 대답하기'와 '화살 일제사격'을 헷갈려 한단 말이야.",,,,
"$LINE_MEET_BERSERKER_120_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_120_TEXT",,,,"애쉬 왕국 예절교육은 왜 그따위인지 모르겠다니까.",,,,
"$LINE_MEET_BERSERKER_130_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_130_TEXT",,,,"…….",,,,
"$LINE_MEET_BERSERKER_140_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_140_TEXT",,,,"아직도 그... 다른... 곳에서 무슨 일이 생긴 건지 모르겠어.",,,,
"$LINE_MEET_BERSERKER_150_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_150_TEXT",,,,"신경 쓰지 마. 나도 역병에 처음 걸렸을 때 똑같은 환상을 봤거든.",,,,
"$LINE_MEET_BERSERKER_160_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_160_TEXT",,,,"잠깐, 그쪽과 나는 같이 있었는데! 그게 어떻게 환상이라는 거지?",,,,
"$LINE_MEET_BERSERKER_170_CHAR",,,,"$BER",,,,
"$LINE_MEET_BERSERKER_170_TEXT",,,,"오오, 저게 뭐지? 캐러밴이잖아!",,,,
"$LINE_MEET_BERSERKER_180_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_180_TEXT",,,,"기다려!",,,,
"$LINE_MEET_BERSERKER_190_CHAR",,,,"$MCG",,,,
"$LINE_MEET_BERSERKER_190_TEXT",,,,"이름이라도 말해줘!",,,,
