"flag","content","comment",
"$TITLE_START_DEMO","Начать ДЕМО",
"$TITLE_FULL_GAME","ПОЛНАЯ ВЕРСИЯ",
"$TITLE_START_GAME","Начать игру",
"$TITLE_START","Старт",
"$TITLE_QUIT","Выход",
"$TITLE_EULA_1","Играя в эту игру",
"$TITLE_EULA_2","вы соглашаетесь с лицензионным соглашением.",
"$TITLE_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT","КОММЕНТАРИЙ: это ссылка, сюда будет вставлен текст $MISC_PLEASE_WAIT. В начале строки <RE> означает ссылку и не появится в итоговом тексте.",
"$TITLE_BONUS_GOODIES","Бонусные плюшки",
"$TITLE_CONNECTING_KONG","Подключаемся к KONGREGATE...",
"$TITLE_UNLOAD_MOD","Откл. мод",
"$DEMO_OVER_PLEASE_WAIT","<RE>$MISC_PLEASE_WAIT",
"$DEMO_OVER_DONT_FORGET","Не забывайте файл сохранения!",
"$DEMO_OVER_EXPORT_HOW","Переместить файл сохранения с помощью этой кнопки.",
"$DEMO_OVER_USE_IT","Используйте это, чтобы продолжить с места, где вы закончили!",
"$DEMO_OVER_PLAY","Продолжайте играть!",
"$DEMO_OVER_THANKS","Спасибо за игру!",
"$DEMO_OVER_ENORMOUS","Нажмите кнопку, чтобы продолжить ваше приключение!",
"$DEMO_OVER_ENORMOUS_2","Нажмите кнопку, чтобы продолжить ваше приключение!",
"$DEMO_OVER_FULL_GAME","Получить ПОЛНУЮ ВЕРСИЮ!",
"$DEMO_OVER_FULL_GAME_SHORT","ПОЛНАЯ<N>ИГРА!","КОМММЕНТАРИЙ: <N> значит перенос строки. <N> тоже работает, но не <N> или <n>",
"$DEMO_OVER_ACTS","Акты<N>III & IV",
"$ERROR_TITLE","Произошла ошибка!",
"$ERROR_NUMBER","Ошибка #",
"$ERROR_CONTEXT","контекст",
"$ERROR_MESSAGE","сообщение",
"$ERROR_STACK","трассировка стека",
"$PARTY_FROM_BATTLE","С битвы",
"$PARTY_GO_TO_MAP","Перейти к карте",
"$PARTY_RETURN_TOWN","Вернуться в город",
"$PARTY_CANT_WEAPON","Без<N>ОРУЖИЯ",
"$PARTY_CANT_ARMOR","Без<N>БРОНИ",
"$PARTY_RESET_POINTS","Сброс ОН",
"$PARTY_REDESIGN","Внешность",
"$PARTY_RESET_POINTS_NUMS","font:12,off_x:0,off_y:0,leading:0",
"$PARTY_REDESIGN_NUMS","font:12,off_x:0,off_y:0,leading:0",
