"flag",,,,"content",,,,
"$SCENE_OPENING_TITLE",,,,"オープニング",,,,
"$NARR_OPENING_00_TEXT",,,,"*私の名は$MCG",,,,
"$NARR_OPENING_10_TEXT",,,,"私は、死を待つ身",,,,
"$NARR_OPENING_20_TEXT",,,,"彼らは待ってくれない",,,,
"$NARR_OPENING_30_TEXT",,,,"死体の火葬すらしてくれない",,,,
"$NARR_OPENING_40_TEXT",,,,"死体を町から運び出し・・・",,,,
"$NARR_OPENING_50_TEXT",,,,"・・・そして、奈落の底へと突き落とす",,,,
"$SCENE_WHERE_AM_I_TITLE",,,,"生と死のはざま",,,,
"$NARR_WHERE_AM_I_00_TEXT",,,,"ACT I",,,,
"$NARR_WHERE_AM_I_00_SUB_TEXT",,,,"*生と死、ふたつの世界に片足を踏み入れながらも、<N>魂ははざまを彷徨う。<N>死に瀕した人の目に、すべてが映る。",,,,
"$NARR_WHERE_AM_I_00_SUB_SUB_TEXT",,,,"*$N$N$N$N$N$N-遊牧民のことわざ",,,,
"$LINE_WHERE_AM_I_00_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_00_TEXT",,,,"あの人の気配を、感じますか？",,,,
"$LINE_WHERE_AM_I_10_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_10_TEXT",,,,"えっ、何？ここはどこ？",,,,
"$LINE_WHERE_AM_I_20_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_20_TEXT",,,,"あの方が私たちを呼んでいます・・・。",,,,
"$LINE_WHERE_AM_I_30_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_30_TEXT",,,,"さあ、あの方の元へと行きましょう・・・。",,,,
"$LINE_WHERE_AM_I_40_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_40_TEXT",,,,"さあ、もうちょっと、あと少しで・・・。",,,,
"$LINE_WHERE_AM_I_50_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_50_TEXT",,,,"何してるの？気が狂ったの？",,,,
"$LINE_WHERE_AM_I_60_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_60_TEXT",,,,"あの御声に耳を澄まして・・・。",,,,
"$LINE_WHERE_AM_I_70_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_70_TEXT",,,,"あの方は、多くのものをくださる・・・。<N>偉大なる存在の一部にしてもらえるの・・・。",,,,
"$LINE_WHERE_AM_I_80_CHAR",,,,"感染者",,,,
"$LINE_WHERE_AM_I_80_TEXT",,,,"抵抗するのは、愚か者だ！",,,,
"$LINE_WHERE_AM_I_90_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_90_TEXT",,,,"近寄らないで！",,,,
