"flag",,,,"content,,,,
"$SCENE_OPENING_TITLE",,,,"Opening",,,,
"$NARR_OPENING_00_TEXT",,,,"*My name is $MCG",,,,
"$NARR_OPENING_10_TEXT",,,,"I am dying",,,,
"$NARR_OPENING_20_TEXT",,,,"They don't wait",,,,
"$NARR_OPENING_30_TEXT",,,,"There's not even time to burn the bodies anymore",,,,
"$NARR_OPENING_40_TEXT",,,,"Just take them outside of the city...",,,,
"$NARR_OPENING_50_TEXT",,,,"...and throw them in the Pit",,,,
"$SCENE_WHERE_AM_I_TITLE",,,,"The Half-Way World",,,,
"$NARR_WHERE_AM_I_00_TEXT",,,,"ACT I",,,,
"$NARR_WHERE_AM_I_00_SUB_TEXT",,,,"*A foot in each world and his soul in the middle,$Nthe dying man sees all things.",,,,
"$NARR_WHERE_AM_I_00_SUB_SUB_TEXT",,,,"*$N$N$N-Nomad Proverb",,,,
"$LINE_WHERE_AM_I_00_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_00_TEXT",,,,"Can you feel him?",,,,
"$LINE_WHERE_AM_I_10_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_10_TEXT",,,,"What? Where are we?",,,,
"$LINE_WHERE_AM_I_20_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_20_TEXT",,,,"He is calling to us...",,,,
"$LINE_WHERE_AM_I_30_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_30_TEXT",,,,"Come, we must join him...",,,,
"$LINE_WHERE_AM_I_40_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_40_TEXT",,,,"We are already halfway there...",,,,
"$LINE_WHERE_AM_I_50_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_50_TEXT",,,,"What are you doing? Are you crazy?",,,,
"$LINE_WHERE_AM_I_60_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_60_TEXT",,,,"Listen to the Voice...",,,,
"$LINE_WHERE_AM_I_70_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_70_TEXT",,,,"He offers so much more... to be a part of something... greater.",,,,
"$LINE_WHERE_AM_I_80_CHAR",,,,"PLAGUE VICTIM",,,,
"$LINE_WHERE_AM_I_80_TEXT",,,,"Only a fool would resist.",,,,
"$LINE_WHERE_AM_I_90_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_90_TEXT",,,,"Get away from me!",,,,
"$LINE_WHERE_AM_I_100_CHAR",,,,"VOICE",,,,
"$LINE_WHERE_AM_I_100_TEXT",,,,"ALL WILL JOIN. ALL BECOME VESSELS.",,,,
"$LINE_WHERE_AM_I_110_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_110_TEXT",,,,"Get me out of here!",,,,
"$LINE_WHERE_AM_I_120_CHAR",,,,"VOICE",,,,
"$LINE_WHERE_AM_I_120_TEXT",,,,"COMMAND.",,,,
"$LINE_WHERE_AM_I_130_CHAR",,,,"$MCG",,,,
"$LINE_WHERE_AM_I_130_TEXT",,,,"Can't...move...",,,,
