"flag",,,,"content",,,,
"$ENTRY_JOURNAL_INDEX_TITLE",,,,"INDEX",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_00",,,,"Entrées du journal",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_10",,,,"Jour 1 : @Où suis-je ?@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_20",,,,"Nuit 1 : @<berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_30",,,,"Jour 3 : @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_40",,,,"Nuit 3 : @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_50",,,,"Jour 3 : @La prison@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_60",,,,"Jour 4 : @Le Monde à Mi-Chemin@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_70",,,,"Jour 5 : @<ranger_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_80",,,,"Jour 8 : @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_90",,,,"Nuit 7 : @L'incendie de Karsk@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_100",,,,"Jour 8 : @Laksos@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_110",,,,"Jour 9 : @<mcguffin_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_120",,,,"Jour 10 : @La mort d'Ozimal@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_130",,,,"Nuit 10 : @Le Monastère@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_140",,,,"Jour 11 : @L'Ancien <healer_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_150",,,,"Jour 13 : @<mage_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_160",,,,"Jour 14 : @Les Nomades@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_170",,,,"Jour 15 : @Un étrange rêve@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_00",,,,"Jour 17 : @Joyau-du-Désert@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_10",,,,"Jour 18 : @<knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_20",,,,"Jour 19 : @Lettre de <knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_30",,,,"Nuit 19 : @Ma réponse : premier jet@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_40",,,,"Jour 20 : @Réponse de <knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_50",,,,"Jour 21 : @Lettre de <LQ><knight_hero_up><RQ>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_60",,,,"Nuit 21 : @Pour <berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_70",,,,"Nuit 22 : @<dragon_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_80",,,,"Jour 24 : @Addendum@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_90",,,,"Jour 25 : @Le second rêve@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_100",,,,"Jour 28 : @La mort de Zelemir@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_110",,,,"Jour 29 : @Le troisième rêve@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_120",,,,"Jour 35 : @Le trône d'Eztli@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_130",,,,"Jour 37 : @Tletl-Meztli@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_140",,,,"Jour 39 : @Fuir ?@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_150",,,,"Jour 40 : @Suivre Zelemir@",,,,
