flag	name	comment
$BLANK		COMMENT: This file contains all the tutorial text from the game's map (level) files.
$1_1_WHERE_AM_I_00_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_00_TEXT	Kde to jsem?
$1_1_WHERE_AM_I_10_TITLE	
$1_1_WHERE_AM_I_10_TEXT	<N>Tohle je Tvoje hlavní postava, $MCG.<N>Nemůže se hýbat.
$1_1_WHERE_AM_I_20_TITLE	
$1_1_WHERE_AM_I_20_TEXT	<N>Odtud lezou nepřátelé.<N>Nesmí dojít tam, kde je $MCG!
$1_1_WHERE_AM_I_30_TITLE	
$1_1_WHERE_AM_I_30_TEXT	<N>V režimu nové hry+ jsou nepřátelé mnohem silnější a mají nové schopnosti a vlastnosti.
$1_1_WHERE_AM_I_40_TITLE	
$1_1_WHERE_AM_I_40_TEXT	<N>Například normální Navrátilci regenerují.
$1_1_WHERE_AM_I_50_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_50_TEXT	Hej, cizinče! Kde jsi?
$1_1_WHERE_AM_I_60_TITLE	
$1_1_WHERE_AM_I_60_TEXT	<N>Klikni sem a otevřeš nabídku Berserků.
$1_1_WHERE_AM_I_70_TITLE	
$1_1_WHERE_AM_I_70_TEXT	<N>Teď máš jen berserky. Jak budeš potkávat další hrdiny, odemkneš přístup k dalším třídám obránců.
$1_1_WHERE_AM_I_80_TITLE	TALK_$BER_SURPRISE
$1_1_WHERE_AM_I_80_TEXT	Cos mi to udělala??
$1_1_WHERE_AM_I_90_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_90_TEXT	Já nevím! Ale jdou po mně příšery! Pomoc!
$1_1_WHERE_AM_I_100_TITLE	TALK_$BER_SURPRISE
$1_1_WHERE_AM_I_100_TEXT	Proč skrz sebe vidím? Kde je moje tělo?
$1_1_WHERE_AM_I_110_TITLE	
$1_1_WHERE_AM_I_110_TEXT	<N>Tady jsou zobrazeni všichni berserkové ve tvojí skupině.<N>Zatím máš tedy jen tohole.
$1_1_WHERE_AM_I_120_TITLE	
$1_1_WHERE_AM_I_120_TEXT	<N>Klikni sem a vybereš ho!
$1_1_WHERE_AM_I_130_TITLE	
$1_1_WHERE_AM_I_130_TEXT	<N>Všichni Tví obránci mají úroveň, schopnosti a vybavení z předchozí hry.
$1_1_WHERE_AM_I_140_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_140_TEXT	Prostě jsem zavolala... a ucítila tě ve své mysli...
$1_1_WHERE_AM_I_150_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_150_TEXT	Zůstaň! Musím se soustředit!
$1_1_WHERE_AM_I_160_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_160_TEXT	Když se mi to povede, snad tě sem dostanu!
$1_1_WHERE_AM_I_170_TITLE	TALK_$BER_SURPRISE
$1_1_WHERE_AM_I_170_TEXT	Hm.... no dobře.
$1_1_WHERE_AM_I_180_TITLE	TALK_$BER_LOOKBACK
$1_1_WHERE_AM_I_180_TEXT	Sakra, fakt jsem si neměl dávat tu polívku z ještěrek....
$1_1_WHERE_AM_I_190_TITLE	
$1_1_WHERE_AM_I_190_TEXT	<N>Klikni, kam chceš umístit svého obránce.<N><N>Tohle je dobré místo!
$1_1_WHERE_AM_I_200_TITLE	TALK_$BER_SMILE
$1_1_WHERE_AM_I_200_TEXT	Heeeeeej!<N>Tohle už je lepší!
$1_1_WHERE_AM_I_210_TITLE	
$1_1_WHERE_AM_I_210_TEXT	<N>$MCG používá Psi energii k přivolávání obránců.<N>Zabití nepřátelé Ti Psi energii dodají.
$1_1_WHERE_AM_I_220_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_220_TEXT	Super!<N>Tak teď něco dělej!
$1_1_WHERE_AM_I_230_TITLE	TALK_$BER_SMILE
$1_1_WHERE_AM_I_230_TEXT	Co říkáš?<N>Mám na tebe udělat dojem spoustou násilných skutků?
$1_1_WHERE_AM_I_240_TITLE	TALK_$BER_DERANGED
$1_1_WHERE_AM_I_240_TEXT	Tak to nebude problém!
$1_1_WHERE_AM_I_250_TITLE	
$1_1_WHERE_AM_I_250_TEXT	<N>Obránci se nemohou hýbat<N>a automaticky útočí na nepřátele.
$1_1_WHERE_AM_I_260_TITLE	
$1_1_WHERE_AM_I_260_TEXT	<N>Teď je hra zastavena.
$1_1_WHERE_AM_I_270_TITLE	
$1_1_WHERE_AM_I_270_TEXT	<N>Klikni sem, aby se věci daly do pohybu.
$1_1_WHERE_AM_I_280_TITLE	TALK_$BER_DERANGED
$1_1_WHERE_AM_I_280_TEXT	Tak pojďte, vy slintající trosky!<N>Čeká vás vykuchání!
$1_1_WHERE_AM_I_290_TITLE	TALK_$BER_LOOKBACK
$1_1_WHERE_AM_I_290_TEXT	Hele, jako dobrý, ale nějak si připadám, že bych měl bejt mnohem lepší než tohle.
$1_1_WHERE_AM_I_300_TITLE	TALK_$BER_LOOKBACK
$1_1_WHERE_AM_I_300_TEXT	Jseš si jistá, žes mě sem dostala úplně celého? Nic ... nechybí??
$1_1_WHERE_AM_I_310_TITLE	TALK_$MCG_POWER
$1_1_WHERE_AM_I_310_TEXT	No, možná bych do tebe mohla poslat víc energie...
$1_1_WHERE_AM_I_320_TITLE	
$1_1_WHERE_AM_I_320_TEXT	<N>Tohle je tlačítko pro vylepšení.<N>$BER bude po vylepšení silnější a rychlejší.
$1_1_WHERE_AM_I_330_TITLE	
$1_1_WHERE_AM_I_330_TEXT	<N>Na 2. úrovni vylepšení 2<N>$může BER používat svoji druhou bojovou techniku, Dvojitý zásah.
$1_1_WHERE_AM_I_340_TITLE	
$1_1_WHERE_AM_I_340_TEXT	<N>Klikni na Vylepši!<N>Nebudeš litovat!
$1_1_WHERE_AM_I_350_TITLE	TALK_$BER_DERANGED
$1_1_WHERE_AM_I_350_TEXT	To je jiný kafe!
$1_2_THE_SHADOW_WORLD_00_TITLE	TALK_$MCG_POWER
$1_2_THE_SHADOW_WORLD_00_TEXT	$BER! Zafungovalo to!
$1_2_THE_SHADOW_WORLD_10_TITLE	TALK_$MCG_POWER
$1_2_THE_SHADOW_WORLD_10_TEXT	Jsem zpátky v tom divném světě... na půli cesty...
$1_2_THE_SHADOW_WORLD_20_TITLE	TALK_$BER_SURPRISE
$1_2_THE_SHADOW_WORLD_20_TEXT	Vezmi mě tam taky! Cítím, jako bych se vznášel v prostoru!
$1_2_THE_SHADOW_WORLD_30_TITLE	
$1_2_THE_SHADOW_WORLD_30_TEXT	<N>klikni sem pro zobrazení nabídky berserků.
$1_2_THE_SHADOW_WORLD_40_TITLE	TALK_$BER_SMILE
$1_2_THE_SHADOW_WORLD_40_TEXT	Ou jééé, jdeme na to!
$1_2_THE_SHADOW_WORLD_50_TITLE	
$1_2_THE_SHADOW_WORLD_50_TEXT	<N>Vyber $BER kliknutím na něj.
$1_2_THE_SHADOW_WORLD_60_TITLE	
$1_2_THE_SHADOW_WORLD_60_TEXT	<N>Tahle tlačítka určují, na koho bude $BER útočit.
$1_2_THE_SHADOW_WORLD_70_TITLE	
$1_2_THE_SHADOW_WORLD_70_TEXT	<N>Tahle tlačítka mění rychlost,<N> jakou ubíhá čas ve hře.
$1_2_THE_SHADOW_WORLD_80_TITLE	Rada
$1_2_THE_SHADOW_WORLD_80_TEXT	<N>I když je hra zastavená, můžeš dělat různé věci.<N>Použij <PAUSE> k rychlému zastavení hry.
$1_2_THE_SHADOW_WORLD_90_TITLE	
$1_2_THE_SHADOW_WORLD_90_TEXT	<N>Nezapomeň na vylepšení $BER.<N>Je to klíčová součást taktiky.
$1_2_THE_SHADOW_WORLD_100_TITLE	TALK_$BER_DERANGED
$1_2_THE_SHADOW_WORLD_100_TEXT	OU JÉE!<N>To je síla!
$1_2_THE_SHADOW_WORLD_110_TITLE	
$1_2_THE_SHADOW_WORLD_110_TEXT	<N>OH NO!<N>$BER na další vlnu nepřátel nedosáhne!
$1_2_THE_SHADOW_WORLD_120_TITLE	
$1_2_THE_SHADOW_WORLD_120_TEXT	<N>$MCG má kouzlo Blesk - použij je na ty nepřátele!
$1_2_THE_SHADOW_WORLD_130_TITLE	
$1_2_THE_SHADOW_WORLD_130_TEXT	<N>Dobře!<N>Blesky můžeš dorazit nepřátelé, kteří proklouzli skrz tvoje obránce.
$1_2_THE_SHADOW_WORLD_140_TITLE	
$1_2_THE_SHADOW_WORLD_140_TEXT	<N>Ale šetři s nimi.<N>Seslání kouzla stojí PSI.
$1_3_COLISEUM_1_00_TITLE	TALK_$RAN_NORMAL
$1_3_COLISEUM_1_00_TEXT	Co sakra - Co to děláš?
$1_3_COLISEUM_1_10_TITLE	TALK_$BER_NORMAL
$1_3_COLISEUM_1_10_TEXT	Je to divný pocit, že?
$1_3_COLISEUM_1_20_TITLE	TALK_$RAN_NORMAL
$1_3_COLISEUM_1_20_TEXT	Cítím se jako... když jsem měla mor...
$1_3_COLISEUM_1_30_TITLE	TALK_$RAN_NORMAL
$1_3_COLISEUM_1_30_TEXT	Když jsem myslela, že umírám...
$1_3_COLISEUM_1_40_TITLE	TALK_$RAN_NORMAL
$1_3_COLISEUM_1_40_TEXT	Když jsem byla jednou nohou v hrobě...
$1_3_COLISEUM_1_50_TITLE	TALK_$BER_DERANGED
$1_3_COLISEUM_1_50_TEXT	No, tak pojď místo umírání nakopat pár zadků!
$1_3_COLISEUM_1_60_TITLE	TALK_$BER_SMILE
$1_3_COLISEUM_1_60_TEXT	Přijde mi to mnohem lepší, než smrt.
$1_3_COLISEUM_1_70_TITLE	The Ranger
$1_3_COLISEUM_1_70_TEXT	$MCG teď může vybírat mezi dvěma třídami obránců - berserky a lovci.
$1_3_COLISEUM_1_80_TITLE	
$1_3_COLISEUM_1_80_TEXT	<N>Po najetí myší na vlny nepřátel uvidíš víc informací.
$1_3_COLISEUM_1_90_TITLE	
$1_3_COLISEUM_1_90_TEXT	<N>Tak například tihle ČERVENÍ nepřátelé umí útočit na obránce!
$1_3_COLISEUM_1_100_TITLE	
