"flag","name",
"$CLASS_MCGUFFIN","Bibliotecaria",
"$CLASS_MCGUFFIN_PL","Bibliotecarie",
"$CLASS_KNIGHT","Cavaliere",
"$CLASS_KNIGHT_PL","Cavalieri",
"$CLASS_RANGER","Arciere",
"$CLASS_RANGER_PL","Arcieri",
"$CLASS_BERSERKER","Barbaro",
"$CLASS_BERSERKER_PL","Barbari",
"$CLASS_HEALER","Guaritore",
"$CLASS_HEALER_PL","Guaritori",
"$CLASS_MAGE","Maga del Ghiaccio",
"$CLASS_MAGE_PL","Maghe del Ghiaccio",
"$CLASS_DRAGON","Drago",
"$CLASS_DRAGON_PL","Draghi",
"$CLASS_SORCEROR","Stregone",
"$CLASS_SORCEROR_PL","Stregoni",
"$CLASS_ANTIMCGUFFIN","Strega",
"$CLASS_ANTIMCGUFFIN_PL","Streghe",
"$SPELL_ENEMY_ZAP","<RE>$SKILL_MCGUFFIN_A_LIGHTNING",
"$SPELL_ENEMY_FRENZY","<RE>$SKILL_MCGUFFIN_A_FRENZY",
"$SPELL_ENEMY_HEAL","<RE>$SKILL_MCGUFFIN_A_HEALING",
"$SPELL_ENEMY_FIRE","<RE>$SKILL_MCGUFFIN_A_DRAGON_FIRE",
"$SKILL_MCGUFFIN_A_LIGHTNING","Fulmine",
"$SKILL_MCGUFFIN_A_FRENZY","Frenesia",
"$SKILL_MCGUFFIN_A_HEALING","Guarigione",
"$SKILL_MCGUFFIN_A_CRYSTAL","Cristallo",
"$SKILL_MCGUFFIN_A_PUSHBACK","Spinta",
"$SKILL_MCGUFFIN_A_DRAGON_FIRE","Fuoco del Drago",
"$SKILL_MCGUFFIN_A_LIGHTNING_DESC","Provoca $X danni ad un singolo nemico. Brucia energia psi, riducendone il quantitativo ottenuto dal mostro.",
"$SKILL_MCGUFFIN_A_FRENZY_DESC","Aumenta la velocità di attacco di TUTTI i difensori del $X% per $Y secondi.",
"$SKILL_MCGUFFIN_A_HEALING_DESC","Cura $X PV a tutti i difensori.",
"$SKILL_MCGUFFIN_A_CRYSTAL_DESC","Evoca un cristallo che provoca $X danni ai nemici entro $Y caselle. Esplode se colpito dall'incantesimo Fulmine, o comunque entro $Z secondi.",
"$SKILL_MCGUFFIN_A_PUSHBACK_DESC","Respinge i nemici di $X caselle verso il loro punto di inizio.",
"$SKILL_MCGUFFIN_A_DRAGON_FIRE_DESC","Provoca $X danni a tutti i nemici sullo schermo e li manda a fuoco per altri $Y secondi.",
"$SKILL_MCGUFFIN_fake_attackEXPLOSION","Esplosione",
"$SKILL_ANTIMCGUFFIN_A_LIGHTNING","Fulmine",
"$SKILL_ANTIMCGUFFIN_A_HEALING","Guarigione",
"$SKILL_ANTIMCGUFFIN_A_FRENZY","Frenesia",
"$SKILL_ANTIMCGUFFIN_A_CRYSTAL","Cristallo",
"$SKILL_ANTIMCGUFFIN_A_PUSHBACK","Spinta",
"$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE","Fuoco del Drago",
"$SKILL_ANTIMCGUFFIN_A_LIGHTNING_DESC","Causa $X danni ad un singolo nemico. Brucia energia psi, riducendone il quantitativo ottenuto dal mostro.",
"$SKILL_ANTIMCGUFFIN_A_FRENZY_DESC","Aumenta la velocità di attacco dei difensori del $X% per $Y secondi.",
"$SKILL_ANTIMCGUFFIN_A_HEALING_DESC","Cura $X PV a tutti i difensori.",
"$SKILL_ANTIMCGUFFIN_A_CRYSTAL_DESC","Evoca un cristallo che provoca $X danni ai nemici entro $Y caselle. Esplode in $Z secondi, o se colpito dall'incantesimo Fulmine.",
"$SKILL_ANTIMCGUFFIN_A_PUSHBACK_DESC","Respinge i nemici di $X caselle verso il loro punto di inizio.",
"$SKILL_ANTIMCGUFFIN_A_DRAGON_FIRE_DESC","Provoca $X danni a tutti i nemici sullo schermo e li fa bruciare per $Y secondi.",
"$SKILL_SORCEROR_A_LIGHTNING-Z","Fulmine",
"$SKILL_SORCEROR_A_HEALING-Z","Guarigione",
"$SKILL_SORCEROR_A_FRENZY-Z","Frenesia",
"$SKILL_SORCEROR_A_PUSHBACK-Z","Spinta",
"$SKILL_SORCEROR_A_DRAGON_FIRE-Z","Fuoco del Drago",
"$SKILL_SORCEROR_A_LIGHTNING_DESC","Causa $X danni ad un singolo nemico. Brucia energia psi, riducendone il quantitativo ottenuto dal mostro.",
"$SKILL_SORCEROR_A_FRENZY-Z_DESC","Aumenta la velocità di attacco di TUTTI i difensori del $X% per $Y secondi.",
"$SKILL_SORCEROR_A_HEALING-Z_DESC","Cura $X PV a tutti i difensori.",
"$SKILL_SORCEROR_A_PUSHBACK-Z_DESC","Respinge i nemici di $X caselle verso il loro punto di inizio.",
"$SKILL_SORCEROR_A_DRAGON_FIRE-Z_DESC","Provoca $X danni a tutti i nemici sullo schermo e li fa bruciare per $Y secondi.",
"$SKILL_KNIGHT_A_SWING","Swing",
"$SKILL_KNIGHT_P_ARMOR_PIERCE","Armor Pierce",
"$SKILL_KNIGHT_A_SMASH","Smash",
"$SKILL_KNIGHT_P_ARMOR_BREAK","Armor Break",
"$SKILL_KNIGHT_P_ARMOR_TRAINING","Armor Training",
"$SKILL_KNIGHT_P_HARD_KNOCK","Hard Knock",
"$SKILL_KNIGHT_A_COUNTER","Counter",
"$SKILL_KNIGHT_A_LUNGE","Lunge",
"$SKILL_KNIGHT_P_STUN_STAB","Stun Stab",
"$SKILL_KNIGHT_P_SWORD_TRAINING","Addestramento con la Spada",
"$SKILL_KNIGHT_A_CLEAVE","Cleave",
"$SKILL_BERSERKER_A_SLASH","Slash",
"$SKILL_BERSERKER_A_DOUBLE_HIT","Double Hit",
"$SKILL_BERSERKER_P_SWIFTNESS","Swiftness",
"$SKILL_BERSERKER_A_FLURRY","Flurry",
"$SKILL_BERSERKER_P_RESILIENCE","Resistenza",
"$SKILL_BERSERKER_A_SWIPE","Swipe",
"$SKILL_BERSERKER_P_RAGE","Rabbia",
"$SKILL_BERSERKER_P_REFLEXES","Reflessi",
"$SKILL_BERSERKER_P_MADNESS","Follia",
"$SKILL_BERSERKER_A_WHIRLWIND","Mulinello",
"$SKILL_HEALER_A_AID","Soccorso",
"$SKILL_HEALER_A_ETHER_FLASH","Lampo Etero",
"$SKILL_HEALER_P_BULK_UP","Bulk Up",
"$SKILL_HEALER_P_BLINDING","Accecamento",
"$SKILL_HEALER_A_GROUP_HEAL","Cura di Gruppo",
"$SKILL_HEALER_A_HOLY_LIGHT","Luce Sacra",
"$SKILL_HEALER_A_ZEAL","Zelo",
"$SKILL_HEALER_P_INSPIRE","Ispira",
"$SKILL_MAGE_A_ICE_BALL","Sfera di Ghiaccio",
"$SKILL_MAGE_P_CHILL","Raffredda",
"$SKILL_MAGE_A_ICE_SHARD","Scheggia di Ghiaccio",
"$SKILL_MAGE_P_FREEZE","Congela",
"$SKILL_MAGE_A_SLEET","Nevischio",
"$SKILL_MAGE_P_ICE_SPEAR","Lancia di Ghiaccio",
"$SKILL_MAGE_A_ICE_SPLASH","Bomba di Ghiaccio",
"$SKILL_MAGE_A_BLIZZARD","Tormenta",
"$SKILL_DRAGON_A_BITE","Morso",
"$SKILL_DRAGON_A_CLAW","Zampata",
"$SKILL_DRAGON_P_EPIC_HALITOSIS","Alitosi Epica",
"$SKILL_DRAGON_A_FIRE_BREATH","Soffio di Fuoco",
"$SKILL_DRAGON_P_STRENGTH","Forza",
"$SKILL_DRAGON_A_ROAR","Ruggito",
"$SKILL_DRAGON_P_FATTEN_UP","Ingrassa",
"$SKILL_DRAGON_P_NOM","Gnam",
"$SKILL_DRAGON_A_FIRE_BALL","Palla di Fuoco",
"$SKILL_RANGER_A_BASIC_SHOT","Tiro Normale",
"$SKILL_RANGER_P_SHARP_SHOOTER","Tiratore scelto",
"$SKILL_RANGER_A_TRIPLE_SHOT","Colpo Triplo",
"$SKILL_RANGER_P_DEEP_SHOT","Deep Shot",
"$SKILL_RANGER_A_RAPID_SHOT","Tiro rapido",
"$SKILL_RANGER_P_RANGE_FOCUS","Range Focus",
"$SKILL_RANGER_P_PIERCING_SHOT","Tiro Perforante",
"$SKILL_RANGER_P_POISON_SHOT","Tiro Avvelenato",
"$SKILL_RANGER_A_SPREAD_SHOT","Tiro Multiplo",
"$SKILL_RANGER_A_BLACK_OUT_THE_SUN","Black Out The Sun",
"$TYPE_RANGED","Lungo raggio",
"$TYPE_MELEE","Corto raggio",
"$TYPE_ULTIMATE","Drago",
"$BLURB_BERSERKER","Ha gli attacchi più veloci.<N>Colpisce velocemente bersagli multipli provocando danni medi.<N>Efficace contro gruppi di nemici deboli!",
"$BLURB_RANGER","Ha la miglior gittata.<N>Attacca da lontano provocando danni leggeri.<N>È l'unità più equilibrata!",
"$BLURB_KNIGHT","La classe più lenta.<N>Causa danni molto alti a bersagli singoli.<N>Può penetrare/distruggere le corazze.<N>Consigliato contro nemici forti o corazzati!",
"$BLURB_MAGE","Rallenta e congela i nemici.<N>Ha velocità media e causa danni leggeri.<N>Dà il meglio di se contro nemici veloci!",
"$BLURB_DRAGON","Danni pesanti.<N>Può mangiare i nemici e incenerirli.<N>Costa molto, ma è favoloso!",
"$BLURB_HEALER","Guarisce i tuoi alleati.<N>Ha qualche attacco leggero.<N>Posizionalo con cura per ottenere i risultati migliori!",
"$COLOR_EYE","Occhi",
"$COLOR_SKIN","Pelle",
"$COLOR_HAIR","Capelli",
"$COLOR_PANTS","Pantaloni",
"$COLOR_WEAPON","Arma",
"$COLOR_ARMOR","Armatura",
"$COLOR_DETAIL","Dettagli",
"$COLOR_TUNIC","Tunica",
"$COLOR_CLOAK","Mantello",
"$COLOR_ROBE","Tonaca",
"$COLOR_HIDE","Pelle",
"$COLOR_OUTLINE","Contorno",
"$END","End",
